Institution,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/Precipitation,Sunny Days
University of St Thomas,Saint Paul,MN,24°/7°,58°/37°,83°/64°,59°/39°,113,196
Bentley University,Waltham,MA,35°/17°,58°/37°,83°/62°,62°/40°,131,197
Brandeis University,Waltham,MA,35°/17°,58°/37°,83°/62°,62°/40°,131,197
Babson College,Wellesley,MA,36°/17°,58°/37°,83°/62°,62°/40°,128,201
Boston College,Chestnut Hill,MA,36°/17°,58°/37°,83°/62°,62°/40°,131,201
Franklin W Olin College of Engineering,Needham,MA,36°/17°,58°/37°,83°/62°,62°/40°,131,201
Hope College,Holland,MI,32°/20°,58°/38°,82°/62°,61°/43°,118,165
Brown University,Providence,RI,37°/19°,58°/38°,83°/63°,63°/43°,127,200
Rhode Island School of Design,Providence,RI,37°/19°,58°/38°,83°/63°,63°/43°,127,200
Merrimack College,North Andover,MA,35°17°,58°/38°,83°/62°,62°/42°,127,201
Northwestern University,Evanston,IL,32°/17°,58°/39°,83°/65°,62°/44°,125,193
Roger Williams University,Bristol,RI,38°/22°,58°/39°,82°/64°,82°/64°,127,201
John Carroll University,University Heights,OH,34°/21°,58°/40°,82°/65°,62°/46°,163,160
Western Washington University,Bellingham,WA,47°/35°,58°/41°,72°/53°,59°/43°,150,159
Loyola University Chicago,Chicago,IL,32°/19°,58°/41°,84°/68°,63°/47°,125,189
Providence College,Providence,RI,39°/26°,58°/43°,83°/69°,64°/50°,127,181
Northern Arizona University,Flagstaff,AZ,43°/14°,59°/27°,82°/49°,63°/30°,83,266
Oregon Institute of Technology,Klamath Falls,OR,41°/21°,59°/30°,86°/48°,65°/31°,95,218
Colorado College,Colorado Springs,CO,43°/17°,59°/32°,84°/56°,63°/35°,88,243
Colorado School of Mines,Golden,CO,44°/19°,59°/33°,85°/57°,63°/36°,84,242
Smith College,Northampton,MA,33°/12°,59°/34°,82°/58°,61°/37°,117,189
Skidmore College,Saratoga Springs,NY,30°/12°,59°/35°,82°/59°,61°/39°,129,108
Eastern Connecticut State University,Willimantic,CT,35°/15°,59°/35°,82°/60°,62°/38°,117,192
Mount Holyoke College,South Hadley,MA,33°/14°,59°/36°,83°/60°,62°/39°,116,190
University of Notre Dame,Notre Dame,IN,31°/16°,59°/37°,83°/61°,62°/41°,144,173
Saint Mary's College,Notre Dame,IN,31°/16°,59°/37°,83°/61°,83°/61°,144,173
Union College,Schenectady,NY,31°/14°,59°/37°,83°/61°,61°/40°,137,177
SUNY at Albany,Albany,NY,32°/15°,59°/37°,83°/62°,61°/40°,134,180
University of Michigan-Ann Arbor,Ann Arbor,MI,31°/17°,59°/37°,83°/61°,62°/40°,140,180
Rensselaer Polytechnic Institute,Troy,NY,32°/14°,59°/37°,83°/62°,61°/40°,135,183
